name,position,team,element,team_id,position_id,GW,value,minutes,goals_scored,assists,clean_sheets,goals_conceded,saves,bps,bonus,yellow_cards,red_cards,penalties_saved,penalties_missed,total_points,was_home,opponent_team,fixture_id,team_h_score,team_a_score,kickoff_time,strength_overall_home,strength_overall_away,strength_attack_home,strength_attack_away,strength_defence_home,strength_defence_away,roll3_total_points,roll3_minutes,roll3_goals_scored,roll3_assists,roll3_clean_sheets,roll3_bps,avg_points_last3,avg_minutes_last3,goals_last3,std_points_last3,avg_points_last5,avg_minutes_last5,goals_last5,std_points_last5,ema_points
Raya,GKP,ARS,1,1,1,13,59,90,0,0,0,1,3,12,0,0,0,0,0,3,0.0,0.0,123,1,1,2025-11-30T16:30:00Z,1300,1375,1340,1400,1260,1350,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Raya,GKP,ARS,1,1,1,14,59,90,0,0,1,0,1,26,0,0,0,0,0,6,0.0,0.0,131,2,0,2025-12-03T19:30:00Z,1300,1375,1340,1400,1260,1350,3.0,90.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
Raya,GKP,ARS,1,1,1,15,60,90,0,0,0,2,4,13,0,0,0,0,0,2,0.0,0.0,141,2,1,2025-12-06T12:30:00Z,1300,1375,1340,1400,1260,1350,4.5,90.0,0.0,0.0,0.5,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5
Raya,GKP,ARS,1,1,1,16,60,90,0,0,0,1,1,8,0,0,0,0,0,2,0.0,0.0,151,2,1,2025-12-13T20:00:00Z,1300,1375,1340,1400,1260,1350,3.6666666666666665,90.0,0.0,0.0,0.3333333333333333,17.0,3.6666666666666665,90.0,0.0,2.0816659994661326,0.0,0.0,0.0,0.0,3.25
Raya,GKP,ARS,1,1,1,17,60,90,0,0,1,0,1,28,1,0,0,0,0,7,0.0,0.0,164,0,1,2025-12-20T20:00:00Z,1300,1375,1340,1400,1260,1350,3.3333333333333335,90.0,0.0,0.0,0.3333333333333333,15.666666666666666,3.3333333333333335,90.0,0.0,2.3094010767585034,0.0,0.0,0.0,0.0,2.625
Raya,GKP,ARS,1,1,1,18,60,90,0,0,0,1,2,11,0,0,0,0,0,2,0.0,0.0,171,2,1,2025-12-27T15:00:00Z,1300,1365,1340,1390,1260,1340,3.6666666666666665,90.0,0.0,0.0,0.3333333333333333,16.333333333333332,3.6666666666666665,90.0,0.0,2.886751345948129,4.0,90.0,0.0,2.345207879911715,4.8125
Raya,GKP,ARS,1,1,1,19,60,90,0,0,0,1,2,12,0,0,0,0,0,2,0.0,0.0,181,4,1,2025-12-30T20:15:00Z,1300,1365,1340,1390,1260,1340,3.6666666666666665,90.0,0.0,0.0,0.3333333333333333,15.666666666666666,3.6666666666666665,90.0,0.0,2.886751345948129,3.8,90.0,0.0,2.4899799195977463,3.40625
Raya,GKP,ARS,1,1,1,20,60,90,0,0,0,2,1,3,0,0,0,0,0,1,0.0,0.0,192,2,3,2026-01-03T17:30:00Z,1300,1365,1340,1390,1260,1340,3.6666666666666665,90.0,0.0,0.0,0.3333333333333333,17.0,3.6666666666666665,90.0,0.0,2.886751345948129,3.0,90.0,0.0,2.23606797749979,2.703125
Arrizabalaga,GKP,ARS,2,1,1,13,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,123,1,1,2025-11-30T16:30:00Z,1300,1375,1340,1400,1260,1350,0.0,0.0,0.0,0.0,0.0,0.0,1.6666666666666667,90.0,0.0,0.5773502691896258,2.8,90.0,0.0,2.3874672772626644,1.8515625
Arrizabalaga,GKP,ARS,2,1,1,14,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,131,2,0,2025-12-03T19:30:00Z,1300,1375,1340,1400,1260,1350,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Arrizabalaga,GKP,ARS,2,1,1,15,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,141,2,1,2025-12-06T12:30:00Z,1300,1375,1340,1400,1260,1350,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Arrizabalaga,GKP,ARS,2,1,1,16,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,151,2,1,2025-12-13T20:00:00Z,1300,1375,1340,1400,1260,1350,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Arrizabalaga,GKP,ARS,2,1,1,17,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,164,0,1,2025-12-20T20:00:00Z,1300,1375,1340,1400,1260,1350,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Arrizabalaga,GKP,ARS,2,1,1,18,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,171,2,1,2025-12-27T15:00:00Z,1300,1365,1340,1390,1260,1340,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Arrizabalaga,GKP,ARS,2,1,1,19,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,181,4,1,2025-12-30T20:15:00Z,1300,1365,1340,1390,1260,1340,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Arrizabalaga,GKP,ARS,2,1,1,20,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,192,2,3,2026-01-03T17:30:00Z,1300,1365,1340,1390,1260,1340,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hein,GKP,ARS,3,1,1,13,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,123,1,1,2025-11-30T16:30:00Z,1300,1375,1340,1400,1260,1350,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hein,GKP,ARS,3,1,1,14,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,131,2,0,2025-12-03T19:30:00Z,1300,1375,1340,1400,1260,1350,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hein,GKP,ARS,3,1,1,15,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,141,2,1,2025-12-06T12:30:00Z,1300,1375,1340,1400,1260,1350,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hein,GKP,ARS,3,1,1,16,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,151,2,1,2025-12-13T20:00:00Z,1300,1375,1340,1400,1260,1350,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
