name,position,team,element,team_id,position_id,GW,value,minutes,goals_scored,assists,clean_sheets,goals_conceded,saves,bps,bonus,yellow_cards,red_cards,penalties_saved,penalties_missed,total_points,was_home,opponent_team,fixture_id,team_h_score,team_a_score,kickoff_time,strength_overall_home,strength_overall_away,strength_attack_home,strength_attack_away,strength_defence_home,strength_defence_away
Raya,GKP,ARS,1,1,1,19,60,90,0,0,0,1,2,12,0,0,0,0,0,2,,,181,4,1,2025-12-30T20:15:00Z,1300,1365,1340,1390,1260,1340
Arrizabalaga,GKP,ARS,2,1,1,19,41,0,0,0,0,0,0,0,0,0,0,0,0,0,,,181,4,1,2025-12-30T20:15:00Z,1300,1365,1340,1390,1260,1340
Hein,GKP,ARS,3,1,1,19,40,0,0,0,0,0,0,0,0,0,0,0,0,0,,,181,4,1,2025-12-30T20:15:00Z,1300,1365,1340,1390,1260,1340
Setford,GKP,ARS,4,1,1,19,39,0,0,0,0,0,0,0,0,0,0,0,0,0,,,181,4,1,2025-12-30T20:15:00Z,1300,1365,1340,1390,1260,1340
Gabriel,DEF,ARS,5,1,2,19,71,76,1,0,1,0,0,40,3,0,0,0,0,15,,,181,4,1,2025-12-30T20:15:00Z,1300,1365,1340,1390,1260,1340
Saliba,DEF,ARS,6,1,2,19,61,90,0,0,0,1,0,10,0,0,0,0,0,2,,,181,4,1,2025-12-30T20:15:00Z,1300,1365,1340,1390,1260,1340
Calafiori,DEF,ARS,7,1,2,19,56,0,0,0,0,0,0,0,0,0,0,0,0,0,,,181,4,1,2025-12-30T20:15:00Z,1300,1365,1340,1390,1260,1340
J.Timber,DEF,ARS,8,1,2,19,64,82,0,1,1,0,0,28,0,0,0,0,0,9,,,181,4,1,2025-12-30T20:15:00Z,1300,1365,1340,1390,1260,1340
Kiwior,DEF,ARS,9,1,2,19,54,0,0,0,0,0,0,0,0,0,0,0,0,0,,,181,4,1,2025-12-30T20:15:00Z,1300,1365,1340,1390,1260,1340
Lewis-Skelly,DEF,ARS,10,1,2,19,51,13,0,0,0,1,0,-1,0,0,0,0,0,1,,,181,4,1,2025-12-30T20:15:00Z,1300,1365,1340,1390,1260,1340
White,DEF,ARS,11,1,2,19,51,7,0,0,0,1,0,-1,0,0,0,0,0,1,,,181,4,1,2025-12-30T20:15:00Z,1300,1365,1340,1390,1260,1340
