name,position,team,element,team_id,position_id,GW,value,minutes,goals_scored,assists,clean_sheets,goals_conceded,saves,bps,bonus,yellow_cards,red_cards,penalties_saved,penalties_missed,total_points,was_home,opponent_team,fixture_id,team_h_score,team_a_score,kickoff_time,strength_overall_home,strength_overall_away,strength_attack_home,strength_attack_away,strength_defence_home,strength_defence_away,roll3_total_points,roll3_minutes,roll3_goals_scored,roll3_assists,roll3_clean_sheets,roll3_bps,avg_points_last3,avg_minutes_last3,goals_last3,std_points_last3,avg_points_last5,avg_minutes_last5,goals_last5,std_points_last5,ema_points
Raya,GKP,ARS,1,1,1,13,59,90,0,0,0,1,3,12,0,0,0,0,0,3,0.0,0.0,123,1,1,2025-11-30T16:30:00Z,1300,1375,1340,1400,1260,1350,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Raya,GKP,ARS,1,1,1,14,59,90,0,0,1,0,1,26,0,0,0,0,0,6,0.0,0.0,131,2,0,2025-12-03T19:30:00Z,1300,1375,1340,1400,1260,1350,3.0,90.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
Arrizabalaga,GKP,ARS,2,1,1,13,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,123,1,1,2025-11-30T16:30:00Z,1300,1375,1340,1400,1260,1350,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5
Arrizabalaga,GKP,ARS,2,1,1,14,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,131,2,0,2025-12-03T19:30:00Z,1300,1375,1340,1400,1260,1350,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hein,GKP,ARS,3,1,1,13,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,123,1,1,2025-11-30T16:30:00Z,1300,1375,1340,1400,1260,1350,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hein,GKP,ARS,3,1,1,14,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,131,2,0,2025-12-03T19:30:00Z,1300,1375,1340,1400,1260,1350,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Setford,GKP,ARS,4,1,1,13,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,123,1,1,2025-11-30T16:30:00Z,1300,1375,1340,1400,1260,1350,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Setford,GKP,ARS,4,1,1,14,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,131,2,0,2025-12-03T19:30:00Z,1300,1375,1340,1400,1260,1350,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gabriel,DEF,ARS,5,1,2,13,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,123,1,1,2025-11-30T16:30:00Z,1300,1375,1340,1400,1260,1350,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gabriel,DEF,ARS,5,1,2,14,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,131,2,0,2025-12-03T19:30:00Z,1300,1375,1340,1400,1260,1350,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Saliba,DEF,ARS,6,1,2,13,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,123,1,1,2025-11-30T16:30:00Z,1300,1375,1340,1400,1260,1350,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Saliba,DEF,ARS,6,1,2,14,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,131,2,0,2025-12-03T19:30:00Z,1300,1375,1340,1400,1260,1350,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Calafiori,DEF,ARS,7,1,2,13,58,45,0,0,0,0,0,5,0,1,0,0,0,0,0.0,0.0,123,1,1,2025-11-30T16:30:00Z,1300,1375,1340,1400,1260,1350,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Calafiori,DEF,ARS,7,1,2,14,58,90,0,0,1,0,0,33,1,0,0,0,0,7,0.0,0.0,131,2,0,2025-12-03T19:30:00Z,1300,1375,1340,1400,1260,1350,0.0,45.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
J.Timber,DEF,ARS,8,1,2,13,64,90,0,0,0,1,0,8,0,0,0,0,0,2,0.0,0.0,123,1,1,2025-11-30T16:30:00Z,1300,1375,1340,1400,1260,1350,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5
J.Timber,DEF,ARS,8,1,2,14,64,46,0,0,0,0,0,3,0,0,0,0,0,1,0.0,0.0,131,2,0,2025-12-03T19:30:00Z,1300,1375,1340,1400,1260,1350,2.0,90.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
Kiwior,DEF,ARS,9,1,2,13,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,123,1,1,2025-11-30T16:30:00Z,1300,1375,1340,1400,1260,1350,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5
Kiwior,DEF,ARS,9,1,2,14,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,131,2,0,2025-12-03T19:30:00Z,1300,1375,1340,1400,1260,1350,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lewis-Skelly,DEF,ARS,10,1,2,13,51,45,0,0,0,1,0,-1,0,1,0,0,0,0,0.0,0.0,123,1,1,2025-11-30T16:30:00Z,1300,1375,1340,1400,1260,1350,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lewis-Skelly,DEF,ARS,10,1,2,14,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,131,2,0,2025-12-03T19:30:00Z,1300,1375,1340,1400,1260,1350,0.0,45.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
